TITLE,eeg,spike
The sleep and wake electroencephalogram over the lifespan.,1,0
Quantitative epileptiform burden and electroencephalography background features predict post-traumatic epilepsy.,0,0
Flexible realistic simulation of seizure occurrence recapitulating statistical properties of seizure diaries.,0,0
Impact of the COVID-19 Pandemic on Continuous EEG Utilization.,0,0
MOLER: Incorporate Molecule-Level Reward to Enhance Deep Generative Model for Molecule Optimization.,0,0
Automated EEG-based prediction of delayed cerebral ischemia after subarachnoid hemorrhage.,0,0
How Machine Learning is Powering Neuroimaging to Improve Brain Health.,0,0
Artificial intelligence foundation for therapeutic science.,0,0
"A replicable, open-source, data integration method to support national practice-based research & quality improvement systems.",0,0
Competency-based EEG education: a list of must-know EEG findings for adult and child neurology residents.,0,0
EEG reading with or without clinical information - a real-world practice study.,0,0
High epileptiform discharge burden predicts delayed cerebral ischemia after subarachnoid hemorrhage.,0,0
Sleep apnea and respiratory anomaly detection from a wearable band and oxygen saturation.,0,0
High prevalence of sleep-disordered breathing in the intensive care unit - a cross-sectional study.,0,0
Hospital complications among older adults: Better processes could reduce the risk of delirium.,0,0
High incidence of epileptiform activity in adults undergoing extracorporeal membrane oxygenation.,0,0
Preoperative Plasma Tau-PT217 and Tau-PT181 Are Associated With Postoperative Delirium.,0,0
Automated Scoring of Respiratory Events in Sleep With a Single Effort Belt and Deep Neural Networks.,0,0
Noninvasive Detection of Hippocampal Epileptiform Activity on Scalp Electroencephalogram.,0,0
Predicting Neurological Outcome From Electroencephalogram Dynamics in Comatose Patients After Cardiac Arrest With Deep Learning.,0,0
Accurate identification of EEG recordings with interictal epileptiform discharges using a hybrid approach: Artificial intelligence supervised by human experts.,0,0
A machine learning approach to predict progression on active surveillance for prostate cancer.,0,0
Quantifying seizure termination patterns reveals limited pathways to seizure end.,0,0
Severe cerebral edema in substance-related cardiac arrest patients.,0,0
A Primer on EEG Spectrograms.,0,0
The Utility of Quantitative EEG in Detecting Delayed Cerebral Ischemia After Aneurysmal Subarachnoid Hemorrhage.,0,0
Decoding the Spectrogram Rainbow.,0,0
CHEER: Rich Model Helps Poor Model via Knowledge Infusion.,0,0
Systematic Evaluation of Research Priorities in Critical Care Electroencephalography.,0,0
Physiological Assessment of Delirium Severity: The Electroencephalographic Confusion Assessment Method Severity Score (E-CAM-S).,0,0
"One EEG, one read - A manifesto towards reducing interrater variability among experts.",0,0
ICU delirium burden predicts functional neurologic outcomes.,0,0
Predicting neurological outcome in comatose patients after cardiac arrest with multiscale deep neural networks.,0,0
"Electroencephalography, Hospital Complications, and Longitudinal Outcomes After Subarachnoid Hemorrhage.",0,0
Prediction of operative mortality for patients undergoing cardiac surgical procedures without established risk scores.,0,0
Do Triphasic Waves and Nonconvulsive Status Epilepticus Arise From Similar Mechanisms? A Computational Model.,0,0
HIV increases sleep-based brain age despite antiretroviral therapy.,0,0
Time-Frequency Decomposition of Scalp Electroencephalograms Improves Deep Learning-Based Epilepsy Diagnosis.,0,0
Automated Annotation of Epileptiform Burden and Its Association with Outcomes.,0,0
A model of metabolic supply-demand mismatch leading to secondary brain injury.,0,0
Anticonvulsant Primary and Secondary Prophylaxis for Acute Ischemic Stroke Patients: A Decision Analysis.,0,0
Postoperative delirium mediates 180-day mortality in orthopaedic trauma patients.,0,0
Clinical Electroencephalography Findings and Considerations in Hospitalized Patients With Coronavirus SARS-CoV-2.,0,0
Computational Evidence for a Competitive Thalamocortical Model of Spikes and Spindle Activity in Rolandic Epilepsy.,0,0
Development and Prospective Validation of a Deep Learning Algorithm for Predicting Need for Mechanical Ventilation.,0,0
Responsive neurostimulation for focal motor status epilepticus.,0,0
Global Incidence of Neurological Manifestations Among Patients Hospitalized With COVID-19-A Report for the GCS-NeuroCOVID Consortium and the ENERGY Consortium.,0,0
Electroencephalographic Abnormalities are Common in COVID-19 and are Associated with Outcomes.,0,0
Automated Adult Epilepsy Diagnostic Tool Based on Interictal Scalp Electroencephalogram Characteristics: A Six-Center Study.,0,0
Algorithm for automatic detection of self-similarity and prediction of residual central respiratory events during continuous positive airway pressure.,0,0
Prolonged Intubation in Patients With Prior Cerebrovascular Disease and COVID-19.,0,0
Generalized periodic discharges with triphasic morphology: to treat or not to treat?.,0,0
Continuous EEG Findings in Autoimmune Encephalitis.,0,0
Deep active learning for Interictal Ictal Injury Continuum EEG patterns.,0,0
"DDESVSFS: A simple, rapid and comprehensive screening tool for the Differential Diagnosis of Epileptic Seizures VS Functional Seizures.",0,0
Assessment of a Study of Continuous vs Repeat-Spot Electroencephalography in Patients With Critical Illness.,0,0
Cortical responses to noninvasive perturbations enable individual brain fingerprinting.,0,0
Focal Sleep Spindle Deficits Reveal Focal Thalamocortical Dysfunction and Predict Cognitive Deficits in Sleep Activated Developmental Epilepsy.,0,0
Susceptibility-weighted imaging reveals cerebral microvascular injury in severe COVID-19.,0,0
Classification of the Disposition of Patients Hospitalized with COVID-19: Reading Discharge Summaries Using Natural Language Processing.,0,0
CoVA: An Acuity Score for Outpatient Screening that Predicts Coronavirus Disease 2019 Prognosis.,0,0
Night-to-night variability of sleep electroencephalography-based brain age measurements.,0,0
Rapid annotation of seizures and interictal-ictal-injury continuum EEG patterns.,0,0
American Clinical Neurophysiology Society's Standardized Critical Care EEG Terminology: 2021 Version.,0,0
Expert-level automated sleep staging of long-term scalp electroencephalography recordings using deep learning.,0,0
Automated Detection of Interictal Epileptiform Discharges from Scalp Electroencephalograms by Convolutional Neural Networks.,0,0
Persistent abnormalities in Rolandic thalamocortical white matter circuits in childhood epilepsy with centrotemporal spikes.,0,0
Association of epileptiform abnormalities and seizures in Alzheimer disease.,0,0
Diagnostic Value of Electroencephalography with Ten Electrodes in Critically Ill Patients.,0,0
Burst Suppression: Causes and Effects on Mortality in Critical Illness.,0,0
A Theoretical Paradigm for Evaluating Risk-Benefit of Status Epilepticus Treatment.,0,0
Evaluating the Clinical Impact of Rapid Response Electroencephalography: The DECIDE Multicenter Prospective Observational Clinical Study.,0,0
Development and Validation of Forecasting Next Reported Seizure Using e-Diaries.,0,0
Association of Sleep Electroencephalography-Based Brain Age Index With Dementia.,0,0
Association of Red Blood Cell Distribution Width With Mortality Risk in Hospitalized Adults With SARS-CoV-2 Infection.,0,0
Improved tracking of sevoflurane anesthetic states with drug-specific machine learning models.,0,0
Cost-effectiveness analysis of multimodal prognostication in cardiac arrest with EEG monitoring.,0,0
Electroencephalogram Burst-suppression during Cardiopulmonary Bypass in Elderly Patients Mediates Postoperative Delirium.,0,0
A New Neural Mass Model Driven Method and Its Application in Early Epileptic Seizure Detection.,0,0
MRI-EEG correlation for outcome prediction in postanoxic myoclonus: A multicenter study.,0,0
Detecting Seizures and Epileptiform Abnormalities in Acute Brain Injury.,0,0
Cerebral Microvascular Injury in Severe COVID-19.,0,0
Clinical Electroencephalography Findings and Considerations in Hospitalized Patients with Coronavirus SARS-CoV-2.,0,0
Sleep staging from electrocardiography and respiration with deep learning.,0,0
Deep Learning for Interictal Epileptiform Spike Detection from scalp EEG frequency sub bands.,0,0
COVID-19 Outpatient Screening: a Prediction Score for Adverse Events.,0,0
Innate immune signaling in the olfactory epithelium reduces odorant receptor levels: modeling transient smell loss in COVID-19 patients.,0,0
Adaptive Sedation Monitoring From EEG in ICU Patients With Online Learning.,0,0
Burden of Epileptiform Activity Predicts Discharge Neurologic Outcomes in Severe Acute Ischemic Stroke.,0,0
Reactivation of Motor-Related Gamma Activity in Human NREM Sleep.,0,0
Artificial intelligence in sleep medicine: background and implications for clinicians.,0,0
Artificial intelligence in sleep medicine: an American Academy of Sleep Medicine position statement.,0,0
Excess brain age in the sleep electroencephalogram predicts reduced life expectancy.,0,0
Sensitivity of Continuous Electroencephalography to Detect Ictal Activity After Cardiac Arrest.,0,0
Electrographic predictors of successful weaning from anaesthetics in refractory status epilepticus.,0,0
Soluble ST2 Is Associated With New Epileptiform Abnormalities Following Nontraumatic Subarachnoid Hemorrhage.,0,0
Assessment of the Validity of the 2HELPS2B Score for Inpatient Seizure Risk Prediction.,0,0
EEG Functional Connectivity is a Weak Predictor of Causal Brain Interactions.,0,0
Early Prediction of Sepsis From Clinical Data: The PhysioNet/Computing in Cardiology Challenge 2019.,0,0
Effects of Cholinergic Neuromodulation on Thalamocortical Rhythms During NREM Sleep: A Model Study.,0,0
Seizure tracking of epileptic EEGs using a model-driven approach.,0,0
Detection of mesial temporal lobe epileptiform discharges on intracranial electrodes using deep learning.,0,0
Interrater Reliability of Experts in Identifying Interictal Epileptiform Discharges in Electroencephalograms.,0,0
Development of Expert-Level Automated Detection of Epileptiform Discharges During Electroencephalogram Interpretation.,0,0
A novel neural computational model of generalized periodic discharges in acute hepatic encephalopathy.,0,0
The probability of seizures during continuous EEG monitoring in high-risk neonates.,0,0
Quantitative EEG reactivity and machine learning for prognostication in hypoxic-ischemic brain injury.,0,0
A fast machine learning approach to facilitate the detection of interictal epileptiform discharges in the scalp electroencephalogram.,0,0
Clinical EEG slowing correlates with delirium severity and predicts poor clinical outcomes.,0,0
Automated tracking of level of consciousness and delirium in critical illness using deep learning.,0,0
Drug-Specific Models Improve the Performance of an EEG-based Automated Brain-State Prediction System.,0,0
Automatic Detection of General Anesthetic-States using ECG-Derived Autonomic Nervous System Features.,0,0
Comparison of machine learning models for seizure prediction in hospitalized patients.,0,0
The EEG Ictal-Interictal Continuum-A Metabolic Roar But a Whimper of a Functional Outcome.,0,0
Resident training and interrater agreements using the ACNS critical care EEG terminology.,0,0
Lateralized periodic discharges frequency correlates with glucose metabolism.,0,0
Brain age from the electroencephalogram of sleep.,0,0
Detecting abnormal electroencephalograms using deep convolutional networks.,0,0
Predicting drug-resistant epilepsy - A machine learning approach based on administrative claims data.,0,0
Electroencephalogram Based Detection of Deep Sedation in ICU Patients Using Atomic Decomposition.,0,0
Expert-level sleep scoring with deep neural networks.,0,0
Estimating the False Positive Rate of Absent Somatosensory Evoked Potentials in Cardiac Arrest Prognostication.,0,0
A Systematic Review and Meta-Analysis Examining the Impact of Sleep Disturbance on Postoperative Delirium.,0,0
Effect of epileptiform abnormality burden on neurologic outcome and antiepileptic drug management after subarachnoid hemorrhage.,0,0
EEG Reactivity Evaluation Practices for Adult and Pediatric Hypoxic-Ischemic Coma Prognostication in North America.,0,0
Bilateral independent periodic discharges are associated with electrographic seizures and poor outcome: A case-control study.,0,0
Variability in pharmacologically-induced coma for treatment of refractory status epilepticus.,0,0
Antiepileptic drug treatment after an unprovoked first seizure: A decision analysis.,0,0
CLASSIFIER CASCADE TO AID IN DETECTION OF EPILEPTIFORM TRANSIENTS IN INTERICTAL EEG.,0,0
Interictal Epileptiform Discharge Detection in EEG in Different Practice Settings.,0,0
EEG findings in CAR T-cell therapy-related encephalopathy.,0,0
EEG CLassification Via Convolutional Neural Network-Based Interictal Epileptiform Event Detection.,0,0
"Real-Time, Automated Detection of Ventilator-Associated Events: Avoiding Missed Detections, Misclassifications, and False Detections Due to Human Error.",0,0
Brain Monitoring of Sedation in the Intensive Care Unit Using a Recurrent Neural Network.,0,0
Rapid Annotation of Seizures and Interictal-ictal Continuum EEG Patterns.,0,0
A Mean Field Model of Acute Hepatic Encephalopathy.,0,0
Neuroimaging Correlates of Periodic Discharges.,0,0
Randomized trial of lacosamide versus fosphenytoin for nonconvulsive seizures.,0,0
Rule of 100: a litmus test for informationless diagnostic tests.,0,0
Continuous electroencephalography predicts delayed cerebral ischemia after subarachnoid hemorrhage: A prospective study of diagnostic accuracy.,0,0
"Minimizing ICU Neurological Dysfunction with Dexmedetomidine-induced Sleep (MINDDS): protocol for a randomised, double-blind, parallel-arm, placebo-controlled trial.",0,0
Epileptiform activity in traumatic brain injury predicts post-traumatic epilepsy.,0,0
Electronic Health Data Predict Outcomes After Aneurysmal Subarachnoid Hemorrhage.,0,0
ADARRI: a novel method to detect spurious R-peaks in the electrocardiogram for heart rate variability analysis in the intensive care unit.,0,0
Association of an Electroencephalography-Based Risk Score With Seizure Probability in Hospitalized Patients.,0,0
Accuracy of Limited-Montage Electroencephalography in Monitoring Postanoxic Comatose Patients.,0,0
Interictal epileptiform discharge characteristics underlying expert interrater agreement.,0,0
Large-Scale Automated Sleep Staging.,0,0
Response.,0,0
Time-dependent risk of seizures in critically ill patients on continuous electroencephalogram.,0,0
Patient-Specific Classification of ICU Sedation Levels From Heart Rate Variability.,0,0
"Design, implementation, and evaluation of a physiological closed-loop control device for medically-induced coma.",0,0
Automated epileptiform spike detection via affinity propagation-based template matching.,0,0
Performance of Spectrogram-Based Seizure Identification of Adult EEGs by Critical Care Nurses and Neurophysiologists.,0,0
What it should mean for an algorithm to pass a statistical Turing test for detection of epileptiform discharges.,0,0
An open request to epidemiologists: please stop querying self-reported sleep duration.,0,0
Epileptiform abnormalities predict delayed cerebral ischemia in subarachnoid hemorrhage.,0,0
"Recording, analysis, and interpretation of spreading depolarizations in neurointensive care: Review and recommendations of the COSBID research group.",0,0
The continuum of spreading depolarizations in acute cortical lesion development: Examining Leão's legacy.,0,0
Reply: Computer models to inform epilepsy surgery strategies: prediction of postoperative outcome.,0,0
A cost-effectiveness analysis of nasal surgery to increase continuous positive airway pressure adherence in sleep apnea patients with nasal obstruction.,0,0
Alternative remedies for insomnia: a proposed method for personalized therapeutic trials.,0,0
Big data in sleep medicine: prospects and pitfalls in phenotyping.,0,0
Selection of first-line therapy in multiple sclerosis using risk-benefit decision analysis.,0,0
cEEG electrode-related pressure ulcers in acutely hospitalized patients.,0,0
Causal inference as an emerging statistical approach in neurology: an example for epilepsy in the elderly.,0,0
Rapid annotation of interictal epileptiform discharges via template matching under Dynamic Time Warping.,0,0
Continuous EEG monitoring enhances multimodal outcome prediction in hypoxic-ischemic brain injury.,0,0
Therapeutic coma for status epilepticus: Differing practices in a prospective multicenter study.,0,0
Default Mode Network Perfusion in Aneurysmal Subarachnoid Hemorrhage.,0,0
Automatic Classification of Sedation Levels in ICU Patients Using Heart Rate Variability.,0,0
Sensitivity of quantitative EEG for seizure identification in the intensive care unit.,0,0
Decision analysis of intracranial monitoring in non-lesional epilepsy.,0,0
Heart rate variability as a biomarker for sedation depth estimation in ICU patients.,0,0
Clinical Development and Implementation of an Institutional Guideline for Prospective EEG Monitoring and Reporting of Delayed Cerebral Ischemia.,0,0
Not a Simple Plumbing Problem: Updating Our Understanding of Delayed Cerebral Ischemia in Aneurysmal Subarachnoid Hemorrhage.,0,0
Metabolic Correlates of the Ictal-Interictal Continuum: FDG-PET During Continuous EEG.,0,0
Interrater Agreement for Consensus Definitions of Delayed Ischemic Events After Aneurysmal Subarachnoid Hemorrhage.,0,0
Automation of Classical QEEG Trending Methods for Early Detection of Delayed Cerebral Ischemia: More Work to Do.,0,0
EPILEPTIFORM SPIKE DETECTION VIA CONVOLUTIONAL NEURAL NETWORKS.,0,0
CLUSTERING OF INTERICTAL SPIKES BY DYNAMIC TIME WARPING AND AFFINITY PROPAGATION.,0,0
FAST AND EFFICIENT REJECTION OF BACKGROUND WAVEFORMS IN INTERICTAL EEG.,0,0
Monitoring burst suppression in critically ill patients: Multi-centric evaluation of a novel method.,0,0
Development and Feasibility Testing of a Critical Care EEG Monitoring Database for Standardized Clinical Reporting and Multicenter Collaborative Research.,0,0
Response Rates to Anticonvulsant Trials in Patients with Triphasic-Wave EEG Patterns of Uncertain Significance.,0,0
"Decision Modeling in Sleep Apnea: The Critical Roles of Pretest Probability, Cost of Untreated Obstructive Sleep Apnea, and Time Horizon.",0,0
Clinical Prediction Models for Sleep Apnea: The Importance of Medical History over Symptoms.,0,0
Quantification of EEG reactivity in comatose patients.,0,0
"New-onset refractory status epilepticus: Etiology, clinical features, and outcome.",0,0
The number of seizures needed in the EMU.,0,0
The human burst suppression electroencephalogram of deep hypothermia.,0,0
Variability in clinical assessment of neuroimaging in temporal lobe epilepsy.,0,0
Estimating Total Cerebral Microinfarct Burden From Diffusion-Weighted Imaging.,0,0
Robust control of burst suppression for medical coma.,0,0
"Practice variability and efficacy of clonazepam, lorazepam, and midazolam in status epilepticus: A multicenter comparison.",0,0
Age-dependency of sevoflurane-induced electroencephalogram dynamics in children.,0,0
Characteristics and role in outcome prediction of continuous EEG after status epilepticus: A prospective observational cohort.,0,0
Physiological consequences of abnormal connectivity in a developmental epilepsy.,0,0
The probability of seizures during EEG monitoring in critically ill adults.,0,0
Stimulus information stored in lasting active and hidden network states is destroyed by network bursts.,0,0
Cerebrospinal fluid shunt-induced chorea: case report and review of the literature on shunt-related movement disorders.,0,0
The standardization debate: A conflation trap in critical care electroencephalography.,0,0
Automated information extraction from free-text EEG reports.,0,0
An enhanced cerebral recovery index for coma prognostication following cardiac arrest.,0,0
Spatial variation in automated burst suppression detection in pharmacologically induced coma.,0,0
Clustering analysis to identify distinct spectral components of encephalogram burst suppression in critically ill patients.,0,0
Propofol and sevoflurane induce distinct burst suppression patterns in rats.,0,0
High risk for seizures following subarachnoid hemorrhage regardless of referral bias.,0,0
Evaluation of a clinical tool for early etiology identification in status epilepticus.,0,0
Effects of sevoflurane and propofol on frontal electroencephalogram power and coherence.,0,0
A comparison of propofol- and dexmedetomidine-induced electroencephalogram dynamics using spectral and coherence analysis.,0,0
Weighing the value of memory loss in the surgical evaluation of left temporal lobe epilepsy: a decision analysis.,0,0
Applications of a Capacitor-Based Respiratory Position Sensing Device: Implications for Radiation Therapy.,0,0
Sparse extreme learning machine for classification.,0,0
Aspirin for secondary prevention after stroke of unknown etiology in resource-limited settings.,0,0
Interrater agreement for Critical Care EEG Terminology.,0,0
Aspirin for acute stroke of unknown etiology in resource-limited settings: a decision analysis.,0,0
The challenge of undiagnosed sleep apnea in low-risk populations: a decision analysis.,0,0
Spectrogram screening of adult EEGs is sensitive and efficient.,0,0
Insomnia and morning motor vehicle accidents: a decision analysis of the risk of hypnotics versus the risk of untreated insomnia.,0,0
Automated sleep apnea quantification based on respiratory movement.,0,0
The information theoretic perspective on medical diagnostic inference.,0,0
Burst suppression in sleep in a routine outpatient EEG.,0,0
Treating seizures in Creutzfeldt-Jakob disease.,0,0
Sensitivity of compressed spectral arrays for detecting seizures in acutely ill adults.,0,0
SpikeGUI: software for rapid interictal discharge annotation via template matching and online machine learning.,0,0
Real-time closed-loop control in a rodent model of medically induced coma using burst suppression.,0,0
Estimating cerebral microinfarct burden from autopsy samples.,0,0
Calculating the risk benefit equation for aggressive treatment of non-convulsive status epilepticus.,0,0
Inferring seizure frequency from brief EEG recordings.,0,0
Real-time segmentation and tracking of brain metabolic state in ICU EEG recordings of burst suppression.,0,0
Reversible vasoconstriction syndrome with bilateral basal ganglia hemorrhages.,0,0
The impact of body posture and sleep stages on sleep apnea severity in adults.,0,0
Information theoretic quantification of diagnostic uncertainty.,0,0
Absence of early epileptiform abnormalities predicts lack of seizures on continuous EEG.,0,0
Propagation of uncertainty in Bayesian diagnostic test interpretation.,0,0
Should risky treatments be reserved for secondary prevention? Theoretical considerations regarding risk-benefit tradeoffs.,0,0
Exploration and modulation of brain network interactions with noninvasive brain stimulation in combination with neuroimaging.,0,0
Emergence of stable functional networks in long-term human electroencephalography.,0,0
Classification algorithms for predicting sleepiness and sleep apnea severity.,0,0
Revising the Rule of Three for inferring seizure freedom.,0,0
Data-driven modeling of sleep states from EEG.,0,0
Cerebral infarction due to smoker's polycythemia.,0,0
Characterizing brain cortical plasticity and network dynamics across the age-span in health and disease with TMS-EEG and TMS-fMRI.,0,0
Should a sentinel node biopsy be performed in patients with high-risk breast cancer?.,0,0
Statin use following intracerebral hemorrhage: a decision analysis.,0,0
Significance testing as perverse probabilistic reasoning.,0,0
Premortem diagnosis of sporadic Creutzfeldt-Jakob disease aided by positron-emission tomography imaging.,0,0
Power law versus exponential state transition dynamics: application to sleep-wake architecture.,0,0
